row,issue,div_id,neigh_jaccard
1057,issue_1,molloy_dario,0.0
1059,issue_1,molloy_dario,0.0
1061,issue_1,molloy_dario,0.0
1062,issue_1,molloy_dario,0.0
1064,issue_1,molloy_dario,0.0
1065,issue_1,molloy_dario,0.0
1071,issue_1,molloy_dario,0.0
1072,issue_1,molloy_dario,0.0
1075,issue_1,molloy_dario,0.0
1078,issue_1,molloy_dario,0.0
1079,issue_1,molloy_dario,0.0
1080,issue_1,molloy_dario,0.0
1081,issue_1,molloy_dario,0.0
1083,issue_1,,0.0
1090,issue_1,,0.0
1092,issue_1,,0.0
1094,issue_1,,0.0
1097,issue_1,,0.0
1100,issue_1,,0.0
1104,issue_1,,0.0
1106,issue_1,,0.0
1107,issue_1,,0.0
1108,issue_1,,0.0
1110,issue_1,,0.0
1112,issue_1,,0.0
1113,issue_1,,0.0
1115,issue_1,,0.0
1116,issue_1,,0.0
1117,issue_1,,0.0
1118,issue_1,,0.0
1119,issue_1,,0.0
1120,issue_1,,0.0
1121,issue_1,,0.0
1122,issue_1,,0.0
1126,issue_1,,0.0
1127,issue_1,,0.0
1128,issue_1,,0.0
1129,issue_1,,0.0
1130,issue_1,,0.0
1131,issue_1,,0.0
1132,issue_1,,0.0
1133,issue_1,,0.0
1134,issue_1,,0.0
1135,issue_1,,0.0
1136,issue_1,,0.0
1139,issue_1,,0.0
1140,issue_1,,0.0
1141,issue_1,,0.0
1142,issue_1,,0.0
1146,issue_1,,0.0
1147,issue_1,,0.0
1150,issue_1,,0.0
1151,issue_1,,0.0
1152,issue_1,,0.0
1153,issue_1,,0.0
1154,issue_1,,0.0
1156,issue_1,,0.0
1158,issue_1,,0.0
1159,issue_1,,0.0
1160,issue_1,,0.0
1164,issue_1,,0.0
1165,issue_1,,0.0
1169,issue_1,,0.0
1172,issue_1,,0.0
1173,issue_1,,0.0
1174,issue_1,,0.0
1175,issue_1,,0.0
1177,issue_1,,0.0
1179,issue_1,,0.0
1182,issue_1,,0.0
1184,issue_1,,0.0
1186,issue_1,,0.0
1187,issue_1,,0.0
1194,issue_2,sitio_entredicho_2,0.0
1199,issue_2,sitio_entredicho_2,0.0
1200,issue_2,sitio_entredicho_2,0.0
1201,issue_2,sitio_entredicho_2,0.0
1202,issue_2,sitio_entredicho_2,0.0
1203,issue_2,sitio_entredicho_2,0.0
1205,issue_2,sitio_entredicho_2,0.0
1206,issue_2,sitio_entredicho_2,0.0
1208,issue_2,sitio_entredicho_2,0.0
1211,issue_2,sitio_entredicho_2,0.0
1212,issue_2,sitio_entredicho_2,0.0
1213,issue_2,sitio_entredicho_2,0.0
1217,issue_2,sitio_entredicho_2,0.0
1218,issue_2,sitio_entredicho_2,0.0
1219,issue_2,sitio_entredicho_2,0.0
1220,issue_2,sitio_entredicho_2,0.0
1221,issue_2,sitio_entredicho_2,0.0
1223,issue_2,sitio_entredicho_2,0.0
1225,issue_2,sitio_entredicho_2,0.0
1227,issue_2,sitio_entredicho_2,0.0
1231,issue_2,,0.0
1232,issue_2,,0.0
1235,issue_2,,0.0
1236,issue_2,,0.0
1237,issue_2,,0.0
1240,issue_2,,0.0
1242,issue_2,,0.0
1245,issue_2,,0.0
1246,issue_2,,0.0
1249,issue_2,,0.0
1251,issue_2,,0.0
1253,issue_2,,0.0
1255,issue_2,,0.0
1256,issue_2,,0.0
1258,issue_2,,0.0
1260,issue_2,,0.0
1262,issue_2,,0.0
1265,issue_2,,0.0
1266,issue_2,,0.0
1267,issue_2,,0.0
1269,issue_2,,0.0
1271,issue_2,,0.0
1272,issue_2,,0.0
1273,issue_2,,0.0
1274,issue_2,,0.0
1276,issue_2,,0.0
1277,issue_2,,0.0
1278,issue_2,,0.0
1279,issue_2,,0.0
1280,issue_2,,0.0
1283,issue_2,,0.0
1284,issue_2,,0.0
1285,issue_2,,0.0
1286,issue_2,,0.0
1288,issue_2,,0.0
1289,issue_2,,0.0
1290,issue_2,,0.0
1291,issue_2,,0.0
1294,issue_2,,0.0
1296,issue_2,,0.0
1298,issue_2,,0.0
1299,issue_2,,0.0
1300,issue_2,,0.0
1301,issue_2,,0.0
1302,issue_2,,0.0
1305,issue_2,,0.0
1306,issue_2,,0.0
1309,issue_2,,0.0
1310,issue_2,,0.0
1314,issue_2,,0.0
1318,issue_2,,0.0
1321,issue_2,,0.0
1325,issue_2,,0.0
1328,issue_2,,0.0
1329,issue_2,,0.0
1330,issue_2,,0.0
1331,issue_2,,0.0
1332,issue_2,,0.0
1334,issue_2,,0.0
1336,issue_2,,0.0
1338,issue_2,,0.0
1341,issue_2,,0.0
1343,issue_2,,0.0
1345,issue_2,,0.0
1346,issue_2,,0.0
1348,issue_2,,0.0
1349,issue_2,,0.0
1351,issue_2,,0.0
1353,issue_2,,0.0
1358,issue_2,,0.0
1359,issue_2,,0.0
1361,issue_2,,0.0
1364,issue_2,,0.0
1367,issue_2,,0.0
1373,issue_2,,0.0
1374,issue_2,,0.0
1375,issue_2,,0.0
1377,issue_2,,0.0
1380,issue_2,,0.0
1381,issue_2,,0.0
1382,issue_2,,0.0
1383,issue_2,,0.0
1386,issue_2,,0.0
1388,issue_2,,0.0
1391,issue_2,,0.0
1392,issue_2,,0.0
1393,issue_2,,0.0
1394,issue_2,,0.0
1396,issue_2,,0.0
1397,issue_2,,0.0
1398,issue_2,,0.0
1400,issue_2,,0.0
1401,issue_2,,0.0
1404,issue_2,,0.0
1405,issue_2,,0.0
1406,issue_2,,0.0
1408,issue_2,,0.0
1409,issue_2,,0.0
1410,issue_2,,0.0
1413,issue_2,,0.0
1418,issue_2,,0.0
1419,issue_2,,0.0
1422,issue_2,,0.0
1423,issue_2,,0.0
1424,issue_2,,0.0
1426,issue_2,,0.0
1427,issue_2,,0.0
1428,issue_2,,0.0
1429,issue_2,,0.0
1430,issue_2,,0.0
1431,issue_2,,0.0
1432,issue_2,,0.0
1434,issue_2,,0.0
1435,issue_2,,0.0
1436,issue_2,,0.0
1437,issue_2,,0.0
1438,issue_2,,0.0
1440,issue_2,,0.0
1441,issue_2,,0.0
1442,issue_2,,0.0
1443,issue_2,,0.0
1446,issue_2,,0.0
1447,issue_2,,0.0
1448,issue_2,,0.0
1449,issue_2,,0.0
1450,issue_2,,0.0
1452,issue_2,,0.0
1453,issue_2,,0.0
1455,issue_2,,0.0
1457,issue_2,,0.0
1462,issue_2,,0.0
1463,issue_2,,0.0
1464,issue_2,,0.0
1467,issue_2,,0.0
1471,issue_2,,0.0
1474,issue_2,,0.0
1475,issue_2,,0.0
1477,issue_2,,0.0
1478,issue_2,,0.0
1479,issue_2,,0.0
1480,issue_2,,0.0
1481,issue_2,,0.0
1483,issue_2,,0.0
1487,issue_2,,0.0
1488,issue_2,,0.0
1490,issue_2,,0.0
1491,issue_2,,0.0
1495,issue_2,,0.0
1496,issue_2,,0.0
1498,issue_2,,0.0
1499,issue_2,,0.0
1504,issue_2,,0.0
1507,issue_2,,0.0
1509,issue_2,,0.0
1513,issue_2,,0.0
1515,issue_2,,0.0
1516,issue_2,,0.0
1517,issue_2,,0.0
1522,issue_2,,0.0
1523,issue_2,,0.0
1524,issue_2,,0.0
1526,issue_2,,0.0
1528,issue_2,,0.0
1529,issue_2,,0.0
